Design Style,Mood,Undertone,Category,Light,Medium,Dark,Designer Note
Refined Southern Traditional,"Historic, layered, gracious",Warm neutral + blue/green heritage hues,Dominant (60%),Warm Ivory (BM White Dove),Soft Cream Greige (BM Pale Oak),Mushroom Greige (F&B Shaded White),"This palette behaves like a string quartet—formal, restrained, and timeless. Avoid high-contrast whites."
Refined Southern Traditional,"Historic, layered, gracious",Warm neutral + blue/green heritage hues,Grounding (30%),Antique Oak,Medium Walnut,Smoked Walnut,"This palette behaves like a string quartet—formal, restrained, and timeless. Avoid high-contrast whites."
Refined Southern Traditional,"Historic, layered, gracious",Warm neutral + blue/green heritage hues,Accent (10%),Chinoiserie Blue,Classic Navy,Oxblood / Deep Forest Green,"This palette behaves like a string quartet—formal, restrained, and timeless. Avoid high-contrast whites."
Southern Coastal Luxe,"Light, refined, NOT beachy",Mineral whites + aquatic pastels,Dominant (60%),Soft White (BM Chantilly Lace),Pale Sand Greige,Sun-bleached Limestone,"Think Debussy, not Jimmy Buffett. Keep saturation low and finishes refined."
Southern Coastal Luxe,"Light, refined, NOT beachy",Mineral whites + aquatic pastels,Grounding (30%),White Oak,Honed Travertine,Light Driftwood Oak,"Think Debussy, not Jimmy Buffett. Keep saturation low and finishes refined."
Southern Coastal Luxe,"Light, refined, NOT beachy",Mineral whites + aquatic pastels,Accent (10%),Sea Glass Blue,Celadon,Coral / Warm Brass,"Think Debussy, not Jimmy Buffett. Keep saturation low and finishes refined."
Modern Farmhouse (Upscale),"Warm, honest, elevated",Neutral warmth with restrained contrast,Dominant (60%),Warm White,Light Greige,Soft Putty,"This is a folk chord progression—simple, grounded, emotionally familiar."
Modern Farmhouse (Upscale),"Warm, honest, elevated",Neutral warmth with restrained contrast,Grounding (30%),Natural Oak,Reclaimed Oak,Weathered Chestnut,"This is a folk chord progression—simple, grounded, emotionally familiar."
Modern Farmhouse (Upscale),"Warm, honest, elevated",Neutral warmth with restrained contrast,Accent (10%),Muted Terracotta,Charcoal,Blackened Steel,"This is a folk chord progression—simple, grounded, emotionally familiar."
Transitional Classic,"Safe luxury, resale-friendly",Balanced warm/cool neutrality,Dominant (60%),Soft Warm Greige,Taupe Greige,Mushroom Taupe,This palette is a perfect major chord—almost impossible to get wrong.
Transitional Classic,"Safe luxury, resale-friendly",Balanced warm/cool neutrality,Grounding (30%),Light Oak,Medium Oak,Honed Limestone (dark vein),This palette is a perfect major chord—almost impossible to get wrong.
Transitional Classic,"Safe luxury, resale-friendly",Balanced warm/cool neutrality,Accent (10%),Soft Blue,Camel,Charcoal,This palette is a perfect major chord—almost impossible to get wrong.
Modern Southern Minimalism,"Clean, architectural, soulful",Plaster whites + organic restraint,Dominant (60%),Bone White,Warm Putty,Soft Clay,Silence matters here. Negative space is part of the palette.
Modern Southern Minimalism,"Clean, architectural, soulful",Plaster whites + organic restraint,Grounding (30%),Light Oak,Pale Limestone,Warm Concrete,Silence matters here. Negative space is part of the palette.
Modern Southern Minimalism,"Clean, architectural, soulful",Plaster whites + organic restraint,Accent (10%),Olive,Bronze,Soft Black,Silence matters here. Negative space is part of the palette.
Modern Mountain Retreat,"Cozy sophistication, nature-forward","Stone, wood, smoke",Dominant (60%),Warm Off-White,Pale Stone,Mineral Taupe,This palette is a minor key with warmth—emotional but grounded.
Modern Mountain Retreat,"Cozy sophistication, nature-forward","Stone, wood, smoke",Grounding (30%),Dark Oak,Slate,Bluestone,This palette is a minor key with warmth—emotional but grounded.
Modern Mountain Retreat,"Cozy sophistication, nature-forward","Stone, wood, smoke",Accent (10%),Rust,Cognac,Deep Charcoal,This palette is a minor key with warmth—emotional but grounded.
Appalachian Rustic Luxury,"Heritage, craft, strength",Earth pigments + iron,Dominant (60%),Creamy Beige,Warm Clay,Mudstone Taupe,"This is a baritone chord—rich, masculine, grounded. Texture is critical."
Appalachian Rustic Luxury,"Heritage, craft, strength",Earth pigments + iron,Grounding (30%),Reclaimed Oak,Flagstone,Aged Limestone,"This is a baritone chord—rich, masculine, grounded. Texture is critical."
Appalachian Rustic Luxury,"Heritage, craft, strength",Earth pigments + iron,Accent (10%),Deep Green,Saddle Brown,Iron Black,"This is a baritone chord—rich, masculine, grounded. Texture is critical."
Lowcountry Cottage Elegance,"Breezy, layered, hospitable, texture-rich",Sun-washed naturals + faded Oushak pigments (soft blues/corals),Dominant (60%),Crisp Linen White (BM Simply White),Natural Grasscloth / Sand,Moody Teal (Hazy Blue-Green),"Texture is the music here. The palette relies on the interplay between rustic wood (heart pine) and refined finishes (polished nickel, honed marble). The ""Dark"" dominant chord (Moody Teal) is perfect for a jewel-box scullery or a cozy, shiplapped den, meant to offset the brightness of a sunroom."
Lowcountry Cottage Elegance,"Breezy, layered, hospitable, texture-rich",Sun-washed naturals + faded Oushak pigments (soft blues/corals),Grounding (30%),Bleached / Scrubbed Pine,Antique Heart Pine (Warm reddish tone),Honed Marble Mosaic (White/Grey),"Texture is the music here. The palette relies on the interplay between rustic wood (heart pine) and refined finishes (polished nickel, honed marble). The ""Dark"" dominant chord (Moody Teal) is perfect for a jewel-box scullery or a cozy, shiplapped den, meant to offset the brightness of a sunroom."
