Design Style,Representative Architects,Representative Interior Designers,Primary Regions,Architectural elements for rooms,Living Room (2M+),Dining Room (2M+),Kitchen (2M+),Bathroom (2M+)
Refined Southern Traditional,"Historical Concepts; Lew Oliver, Inc.; T.S. Adams Studio",Bunny Williams; Suzanne Kasler; Mark D. Sikes; Alexa Hampton,Charleston SC; Southeast,"Plaster or paneled walls, fireplace as anchor","Tailored sofas, rolled arms, skirted furniture, antique rugs","Formal dining table, mahogany or walnut, upholstered host chairs, classic chandelier","Painted inset cabinetry, marble or quartzite, furniture-style islands, unlacquered brass","Marble floors/walls, furniture vanities, polished nickel, framed mirrors"
Southern Coastal Luxe,Peter Block Architects,Amanda Lindroth; Bria Hammel; Shea McGee; Heather Chadduck,Charleston SC; Coastal Carolinas; Florida,(See Living Room Details),"Linen upholstery, relaxed silhouettes, slipcovered sofas, woven textures, large-scale art","Light wood tables, rush or cane chairs, statement pendants","Light-toned cabinetry, rift oak islands, quartzite, integrated appliances","Light stone floors, soft blue/green accents, polished nickel or brass"
Modern Farmhouse (Upscale),Patterson Custom Homes; Jim Strickland,Jean Stoffer; Amber Lewis; Studio McGee; Kate Marker,Georgia; Carolinas; Tennessee,Stone fireplaces,"Clean-lined sofas, mixed wood tones, vintage rugs","Reclaimed or new oak tables, modern Windsor chairs","Shaker or slim inset cabinetry, mixed finishes, slab stone","Stone or porcelain floors, freestanding tubs, simple tile"
Transitional Classic,Ramsey Architects; MGPB,Victoria Hagan; Thomas O’Brien; Suzanne Kasler,Atlanta; Raleigh; Southeast metros,(See Living Room Details),"Refined upholstery, tailored silhouettes, subtle pattern, layered lighting","Upholstered chairs, modern-classic tables, clean chandeliers","Neutral cabinetry, quartzite, restrained detailing","Stone floors, classic tile layouts, modern plumbing"
Modern Southern Minimalism,MGPB; Ramsey Architects,Jake Arnold; Athena Calderone; Studio Shamshiri,Atlanta; Raleigh; Southeast,Textured walls,"Low-profile seating, sculptural forms, minimal pattern","Solid wood tables, sculptural lighting","Flat-panel cabinetry, stone slab backsplashes, integrated hardware","Microcement or stone floors, minimal tile, warm metals"
Modern Mountain Retreat,Clark & Menefee; CLB Architects; Olson Kundig,Commune Design; Brad Ford; Kelly Wearstler,Asheville NC; Mountain Southeast,Large glazing,"Deep seating, leather accents, wool rugs","Solid wood tables, stone or metal lighting","Natural wood cabinetry, stone slabs, dark accents","Stone floors, spa-like layouts, natural textures"
Southern English Romantic,Historical Concepts; James Farmer,Janie Molster; Phoebe Howard,Virginia; Charleston SC,"Intricate millwork, high ceilings, classical moldings","Custom, deep-seated sofas, floral or botanical prints, antique art, layered lighting","Oval or round dining table, velvet or embroidered chairs, crystal chandelier","English-style cabinetry, dark wood island, patterned tile, polished chrome","Claw-foot tub, large-scale floral wallpaper, marble hex tile, unlacquered brass"
Southern French Eclectic,"Bobby McAlpine; Fairfax, Sammons & Partners",Suzanne Kasler; Gerrie Bremermann,Louisiana; South Carolina; Houston,"Limestone or stucco exterior, archways, exposed beams","Linen upholstery, Louis-style furniture, subtle gilt accents, distressed finishes","Trestle or pedestal table, upholstered banquette, antique mirror, iron chandelier","French range, honed marble, open shelving, pot rack, furniture-style hutch","French-style vanity, simple subway tile, antique sconces, warm patina metals"
Lowcountry Cottage Elegance,Peter Block Architects; Historical Concepts,Beth Webb; Summerour Interiors,Lowcountry SC & GA; Coastal SE,"Wide covered porches, raised foundations, shiplap walls","Slipcovered linen sofas, rattan/wicker accents, oyster shell mirrors, seagrass rugs","Pedestal table, rush or cane chairs, beaded chandelier, light-toned wood","Open/airy, pale cabinetry, butcher block or light quartzite, exposed hinges","Beadboard walls, simple porcelain tile, pedestal sink, chrome fixtures"
Palm Beach Regency,Addison Mizner; Maurice Fatio,Celerie Kemble; Mario Buatta,"Palm Beach, FL","Plaster walls, coral stone accents, symmetric layouts","Lacquered furniture, bright-colored upholstery (citrus, pinks), bold patterns (Chinoiserie, ikat)","Glass-top table, cane chairs, colorful lacquered sideboard, dramatic pendant","High-gloss cabinetry (white/color), patterned floor tile, polished brass hardware","Mirrored vanity, banana leaf wallpaper, geometric floor tile, bamboo accents"
Florida Tropical Modern,Alfred Browning Parker; Paul Rudolph,Sawyer Berson; Kelly Wearstler,"Miami; Sarasota; Naples, FL","Large expanses of glass, louvers, flat roofs, natural stone","Low-slung modern seating, indoor-outdoor textiles, strong wood grains, minimal palette","Teak or dark wood table, leather or woven chairs, mid-century modern lighting","Flat-panel dark or white cabinetry, concrete or dark stone, stainless steel","Walk-in shower with river stone, wall-mounted vanity, minimal large-format tile"
Virginia Hunt Country,Thomas Jefferson (influence); Classical Revival,Barry Dixon; Gil Schafer,"Middleburg, VA; Northern VA","Stone or brick, slate roof, generous fireplaces, equestrian details","Deep leather armchairs, tartan/houndstooth fabrics, built-in bookshelves, oil paintings","Formal mahogany table, needlepoint cushions, large hearth, silver accents","Custom wood cabinetry, soapstone counters, copper accents, large apron sink","Traditional double vanity, basketweave marble floor, dark wood paneling"
